CSD,BORO,GRADE LEVEL,PROGRAM TYPE,"CORE SUBJECT 
(MS CORE and 
09-12 ONLY)","CORE COURSE 
(MS CORE and 
09-12 ONLY)","SERVICE CATEGORY
(0K-08 ONLY)",NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
1,M,0K,GEN ED,-,-,-,386,20,19.3
1,M,0K,CTT,-,-,-,351,18,19.5
1,M,0K,G&T,-,-,-,129,6,21.5
1,M,01,GEN ED,-,-,-,361,18,20.1
1,M,01,CTT,-,-,-,237,11,21.5
1,M,01,G&T,-,-,-,150,6,25
1,M,02,GEN ED,-,-,-,289,14,20.6
1,M,02,CTT,-,-,-,254,12,21.2
1,M,02,G&T,-,-,-,161,6,26.8
1,M,03,GEN ED,-,-,-,342,16,21.4
1,M,03,CTT,-,-,-,336,15,22.4
1,M,03,G&T,-,-,-,142,5,28.4
1,M,04,GEN ED,-,-,-,323,16,20.2
1,M,04,CTT,-,-,-,298,14,21.3
1,M,04,G&T,-,-,-,137,5,27.4
1,M,05,GEN ED,-,-,-,268,12,22.3
1,M,05,CTT,-,-,-,344,15,22.9
1,M,05,G&T,-,-,-,157,6,26.2
1,M,06,GEN ED,-,-,-,433,17,25.5
1,M,06,CTT,-,-,-,364,15,24.3
1,M,07,GEN ED,-,-,-,372,14,26.6
1,M,07,CTT,-,-,-,354,14,25.3
1,M,08,GEN ED,-,-,-,437,16,27.3
1,M,08,CTT,-,-,-,370,14,26.4
1,M,09-12,GEN ED,English,MS English Core,-,502,24,20.9
1,M,09-12,GEN ED,English,English 9,-,451,20,22.6
1,M,09-12,GEN ED,English,English 10,-,535,21,25.5
1,M,09-12,GEN ED,English,English 11,-,532,21,25.3
1,M,09-12,GEN ED,English,English 12,-,444,19,23.4
1,M,09-12,GEN ED,English,Other English,-,950,49,19.4
1,M,09-12,GEN ED,Math,Integrated Algebra,-,624,30,20.8
1,M,09-12,GEN ED,Math,Geometry,-,572,26,22
1,M,09-12,GEN ED,Math,Algebra 2/Trig,-,520,22,23.6
1,M,09-12,GEN ED,Math,Other Math,-,1013,48,21.1
1,M,09-12,GEN ED,Science,Living Environment,-,635,27,23.5
1,M,09-12,GEN ED,Science,Chemistry,-,564,25,22.6
1,M,09-12,GEN ED,Science,Physics,-,402,19,21.2
1,M,09-12,GEN ED,Science,Other Physical Sciences,-,68,3,22.7
1,M,09-12,GEN ED,Science,Other Science,-,1015,42,24.2
1,M,09-12,GEN ED,Social Studies,Global History,-,1200,50,24
1,M,09-12,GEN ED,Social Studies,United States History Accelerated,-,791,33,24
1,M,09-12,GEN ED,Social Studies,Participation in Government,-,403,14,28.8
1,M,09-12,GEN ED,Social Studies,Economics,-,228,9,25.3
1,M,09-12,GEN ED,Social Studies,Other Social Studies,-,128,7,18.3
1,M,09-12,CTT,English,MS English Core,-,147,6,24.5
1,M,09-12,CTT,English,English 9,-,93,4,23.3
1,M,09-12,CTT,English,English 10,-,229,9,25.4
1,M,09-12,CTT,English,English 11,-,47,2,23.5
1,M,09-12,CTT,English,English 12,-,80,3,26.7
1,M,09-12,CTT,English,Other English,-,65,5,13
1,M,09-12,CTT,Math,Integrated Algebra,-,163,8,20.4
1,M,09-12,CTT,Math,Geometry,-,145,6,24.2
1,M,09-12,CTT,Math,Algebra 2/Trig,-,69,3,23
1,M,09-12,CTT,Math,Other Math,-,19,1,19
1,M,09-12,CTT,Science,Living Environment,-,67,3,22.3
1,M,09-12,CTT,Science,Chemistry,-,121,5,24.2
1,M,09-12,CTT,Science,Physics,-,27,1,27
1,M,09-12,CTT,Science,Other Physical Sciences,-,61,2,30.5
1,M,09-12,CTT,Science,Other Science,-,147,6,24.5
1,M,09-12,CTT,Social Studies,Global History,-,332,14,23.7
1,M,09-12,CTT,Social Studies,United States History Accelerated,-,69,3,23
1,M,09-12,CTT,Social Studies,Participation in Government,-,28,1,28
1,M,09-12,CTT,Social Studies,Other Social Studies,-,36,2,18
1,M,09-12,SPEC ED,English,English 9,-,10,1,10
1,M,09-12,SPEC ED,English,English 10,-,10,1,10
1,M,09-12,SPEC ED,English,English 11,-,10,1,10
1,M,09-12,SPEC ED,English,English 12,-,10,2,5
1,M,09-12,SPEC ED,English,Other English,-,10,1,10
1,M,09-12,SPEC ED,Math,Integrated Algebra,-,20,2,10
1,M,09-12,SPEC ED,Math,Geometry,-,13,1,13
1,M,09-12,SPEC ED,Math,Other Math,-,41,4,10.3
1,M,09-12,SPEC ED,Science,Living Environment,-,11,1,11
1,M,09-12,SPEC ED,Science,Other Science,-,29,3,9.7
1,M,09-12,SPEC ED,Social Studies,Global History,-,11,1,11
1,M,09-12,SPEC ED,Social Studies,Other Social Studies,-,21,2,10.5
1,M,0K-09,SPEC ED,-,-,12:1,33,3,11
1,M,0K-09,SPEC ED,-,-,12:1:1,269,25,10.8
1,M,MS Core,GEN ED,English,MS English Core,-,1007,39,25.8
1,M,MS Core,GEN ED,English,Other English,-,28,2,14
1,M,MS Core,GEN ED,Math,MS Math Core,-,1082,45,24
1,M,MS Core,GEN ED,Math,Geometry,-,128,5,25.6
1,M,MS Core,GEN ED,Science,MS Science Core,-,1505,61,24.7
1,M,MS Core,GEN ED,Science,Other Science,-,103,4,25.8
1,M,MS Core,GEN ED,Social Studies,MS Social Studies Core,-,1169,48,24.4
1,M,MS Core,GEN ED,Social Studies,United States History Accelerated,-,135,5,27
1,M,MS Core,CTT,English,MS English Core,-,774,33,23.5
1,M,MS Core,CTT,Math,MS Math Core,-,1033,43,24
1,M,MS Core,CTT,Science,MS Science Core,-,667,29,23
1,M,MS Core,CTT,Social Studies,MS Social Studies Core,-,553,26,21.3
1,M,MS Core,SPEC ED,English,MS English Core,-,66,9,7.3
1,M,MS Core,SPEC ED,Math,MS Math Core,-,66,9,7.3
1,M,MS Core,SPEC ED,Science,MS Science Core,-,46,7,6.6
1,M,MS Core,SPEC ED,Social Studies,MS Social Studies Core,-,29,5,5.8
1,M,MS Core,G&T,English,MS English Core,-,81,4,20.3
