GRADE LEVEL,PROGRAM TYPE,"CORE SUBJECT 
(MS CORE and 
09-12 ONLY)","SERVICE CATEGORY
(0K-08 ONLY)",CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN BOROUGH / PROGRAM / GRADE / SUBJECT
0K,GEN ED / CTT / G&T,-,-,<15,87,1025,0.01
0K,GEN ED / CTT / G&T,-,-,15,27,405,0.01
0K,GEN ED / CTT / G&T,-,-,16,29,464,0.01
0K,GEN ED / CTT / G&T,-,-,17,59,1003,0.01
0K,GEN ED / CTT / G&T,-,-,18,82,1476,0.02
0K,GEN ED / CTT / G&T,-,-,19,110,2090,0.03
0K,GEN ED / CTT / G&T,-,-,20,172,3440,0.05
0K,GEN ED / CTT / G&T,-,-,21,217,4557,0.06
0K,GEN ED / CTT / G&T,-,-,22,310,6820,0.1
0K,GEN ED / CTT / G&T,-,-,23,410,9430,0.13
0K,GEN ED / CTT / G&T,-,-,24,500,12000,0.17
0K,GEN ED / CTT / G&T,-,-,25,827,20675,0.29
0K,GEN ED / CTT / G&T,-,-,26,186,4836,0.07
0K,GEN ED / CTT / G&T,-,-,27,51,1377,0.02
0K,GEN ED / CTT / G&T,-,-,28,32,896,0.01
0K,GEN ED / CTT / G&T,-,-,29,7,203,0
0K,GEN ED / CTT / G&T,-,-,30,10,300,0
0K,GEN ED / CTT / G&T,-,-,32,1,32,0
0K,GEN ED / CTT / G&T,-,-,33,1,33,0
01,GEN ED / CTT / G&T,-,-,<15,52,661,0.01
01,GEN ED / CTT / G&T,-,-,15,28,420,0.01
01,GEN ED / CTT / G&T,-,-,16,29,464,0.01
01,GEN ED / CTT / G&T,-,-,17,29,493,0.01
01,GEN ED / CTT / G&T,-,-,18,56,1008,0.01
01,GEN ED / CTT / G&T,-,-,19,82,1558,0.02
01,GEN ED / CTT / G&T,-,-,20,97,1940,0.03
01,GEN ED / CTT / G&T,-,-,21,162,3402,0.05
01,GEN ED / CTT / G&T,-,-,22,182,4004,0.06
01,GEN ED / CTT / G&T,-,-,23,243,5589,0.08
01,GEN ED / CTT / G&T,-,-,24,265,6360,0.09
01,GEN ED / CTT / G&T,-,-,25,295,7375,0.1
01,GEN ED / CTT / G&T,-,-,26,251,6526,0.09
01,GEN ED / CTT / G&T,-,-,27,276,7452,0.1
01,GEN ED / CTT / G&T,-,-,28,239,6692,0.09
01,GEN ED / CTT / G&T,-,-,29,201,5829,0.08
01,GEN ED / CTT / G&T,-,-,30,152,4560,0.06
01,GEN ED / CTT / G&T,-,-,31,142,4402,0.06
01,GEN ED / CTT / G&T,-,-,32,100,3200,0.04
01,GEN ED / CTT / G&T,-,-,33,8,264,0
01,GEN ED / CTT / G&T,-,-,34,2,68,0
02,GEN ED / CTT / G&T,-,-,<15,25,331,0
02,GEN ED / CTT / G&T,-,-,15,22,330,0
02,GEN ED / CTT / G&T,-,-,16,38,608,0.01
02,GEN ED / CTT / G&T,-,-,17,67,1139,0.02
02,GEN ED / CTT / G&T,-,-,18,43,774,0.01
02,GEN ED / CTT / G&T,-,-,19,74,1406,0.02
02,GEN ED / CTT / G&T,-,-,20,110,2200,0.03
02,GEN ED / CTT / G&T,-,-,21,119,2499,0.03
02,GEN ED / CTT / G&T,-,-,22,161,3542,0.05
02,GEN ED / CTT / G&T,-,-,23,182,4186,0.06
02,GEN ED / CTT / G&T,-,-,24,224,5376,0.07
02,GEN ED / CTT / G&T,-,-,25,279,6975,0.1
02,GEN ED / CTT / G&T,-,-,26,263,6838,0.09
02,GEN ED / CTT / G&T,-,-,27,284,7668,0.11
02,GEN ED / CTT / G&T,-,-,28,244,6832,0.09
02,GEN ED / CTT / G&T,-,-,29,227,6583,0.09
02,GEN ED / CTT / G&T,-,-,30,188,5640,0.08
02,GEN ED / CTT / G&T,-,-,31,140,4340,0.06
02,GEN ED / CTT / G&T,-,-,32,122,3904,0.05
02,GEN ED / CTT / G&T,-,-,33,23,759,0.01
02,GEN ED / CTT / G&T,-,-,34,3,102,0
02,GEN ED / CTT / G&T,-,-,>34,1,35,0
