BORO,CSD,SCHOOL CODE,SCHOOL NAME,GRADE,PROGRAM TYPE,"CORE SUBJECT 
(MS CORE and 
9-12 ONLY)","CORE COURSE 
(MS CORE and 9-12 ONLY)","SERVICE CATEGORY
(K-8 ONLY)",DATA SOURCE,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,SCHOOLWIDE PUPIL-TEACHER RATIO
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,ICT,-,-,-,ATS,20,1,20,20,20,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,G&T,-,-,-,ATS,7,1,7,7,7,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,01,GEN ED,-,-,-,ATS,15,1,15,15,15,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,01,ICT,-,-,-,ATS,19,1,19,19,19,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,01,G&T,-,-,-,ATS,12,1,12,12,12,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,02,ICT,-,-,-,ATS,29,1,29,29,29,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,03,ICT,-,-,-,ATS,19,1,19,19,19,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,04,ICT,-,-,-,ATS,18,1,18,18,18,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,05,ICT,-,-,-,ATS,25,1,25,25,25,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,,,,,,,,,,,,8.49
M,1,M019,P.S. 019 ASHER LEVY,0K,GEN ED,-,-,-,ATS,32,2,16,15,17,
M,1,M019,P.S. 019 ASHER LEVY,0K,ICT,-,-,-,ATS,10,1,10,10,10,
M,1,M019,P.S. 019 ASHER LEVY,01,GEN ED,-,-,-,ATS,23,2,11.5,11,12,
M,1,M019,P.S. 019 ASHER LEVY,01,ICT,-,-,-,ATS,14,1,14,14,14,
M,1,M019,P.S. 019 ASHER LEVY,02,GEN ED,-,-,-,ATS,22,1,22,22,22,
M,1,M019,P.S. 019 ASHER LEVY,02,ICT,-,-,-,ATS,14,1,14,14,14,
M,1,M019,P.S. 019 ASHER LEVY,03,GEN ED,-,-,-,ATS,22,2,11,11,11,
M,1,M019,P.S. 019 ASHER LEVY,03,ICT,-,-,-,ATS,10,1,10,10,10,
M,1,M019,P.S. 019 ASHER LEVY,04,GEN ED,-,-,-,ATS,25,2,12.5,12,13,
M,1,M019,P.S. 019 ASHER LEVY,04,ICT,-,-,-,ATS,11,1,11,11,11,
M,1,M019,P.S. 019 ASHER LEVY,05,GEN ED,-,-,-,ATS,26,2,13,12,14,
M,1,M019,P.S. 019 ASHER LEVY,05,ICT,-,-,-,ATS,13,1,13,13,13,
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1:1,ATS,20,2,10,9,11,
M,1,M019,P.S. 019 ASHER LEVY,,,,,,,,,,,,6.26
M,1,M020,P.S. 020 ANNA SILVER,0K,GEN ED,-,-,-,ATS,73,3,24.33,24,25,
